Name,Platform,Year_of_Release,Genre,Critic_Score,User_Score,Rating
Madden NFL 2002,PS2,2001,Sports,94.0,7.9,E
The Sims: Vacation,PC,2002,Simulation,75.0,7.8,T
LEGO Batman: The Videogame,DS,2008,Action,72.0,8,E10+
Kung Fu Panda,X360,2008,Action,75.0,7.4,E10+
Heavy Rain,PS3,2010,Adventure,87.0,7.7,M
Saints Row 2,X360,2008,Action,81.0,8.1,M
Tom Clancy's Splinter Cell,XB,2002,Action,93.0,8.5,T
Killzone 2,PS3,2009,Shooter,91.0,8.1,M
Epic Mickey,Wii,2010,Platform,73.0,7,E
Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007,Fighting,73.0,9.2,T
The Sims: Livin Large,PC,2000,Misc,82.0,6.6,T
World Soccer Winning Eleven 6 International,PS2,2002,Sports,93.0,9.1,E
Devil May Cry,PS2,2001,Action,94.0,8.5,M
Sonic Heroes,PS2,2003,Platform,64.0,7.8,E
Hitman 2: Silent Assassin,PS2,2002,Action,85.0,7.8,M
Battlefield: Bad Company 2,PS3,2010,Shooter,88.0,8.5,M
SOCOM II: U.S. Navy SEALs,PS2,2003,Shooter,87.0,9,M
Pac-Man Collection,GBA,2001,Puzzle,79.0,7.8,E
Street Fighter IV,X360,2009,Fighting,93.0,7.3,T
inFAMOUS,PS3,2009,Action,85.0,8.3,T
Kirby Super Star Ultra,DS,2008,Platform,76.0,8.8,E
Mass Effect,X360,2007,Role-Playing,91.0,8.7,M
Sonic Mega Collection Plus,PS2,2004,Misc,73.0,8.6,E
World Soccer Winning Eleven 7 International,PS2,2003,Sports,93.0,9,E
Sega Superstars Tennis,X360,2008,Sports,67.0,6.8,E10+
Hot Shots Golf 3,PS2,2001,Sports,85.0,8.9,E
Cooking Mama: Cook Off,Wii,2007,Simulation,61.0,5.3,E
Call of Duty: Finest Hour,PS2,2004,Shooter,76.0,7.7,T
WarioWare: Smooth Moves,Wii,2006,Puzzle,83.0,7.4,E10+
The Elder Scrolls III: Morrowind,XB,2002,Role-Playing,87.0,8.7,T
Madden NFL 10,X360,2009,Sports,85.0,6.1,E
BioShock,X360,2007,Shooter,96.0,8.9,M
Metroid Prime,GC,2002,Shooter,97.0,9.3,T
Assassin's Creed: Brotherhood,PS3,2010,Action,90.0,8.2,M
Medal of Honor,PS3,2010,Shooter,75.0,7.5,M
NBA Street,PS2,2001,Sports,89.0,8.6,E
Jak II,PS2,2003,Platform,87.0,8.2,T
Need for Speed: Hot Pursuit,PS3,2010,Racing,89.0,7.2,E10+
The Sims,PS2,2003,Simulation,83.0,7.7,T
Star Wars: The Force Unleashed,X360,2008,Action,73.0,6.7,T
Yoshi's Island DS,DS,2006,Platform,81.0,7.4,E
Tekken 6,PS3,2009,Fighting,79.0,7.4,T
Sonic and the Secret Rings,Wii,2007,Platform,69.0,6.6,E
The Legend of Zelda: A Link to the Past,GBA,2002,Action,95.0,9.1,E
Onimusha: Warlords,PS2,2001,Action,86.0,8.2,M
Call of Duty 3,X360,2006,Shooter,82.0,6.5,T
LEGO Star Wars II: The Original Trilogy,PS2,2006,Action,84.0,9,E10+
Madden NFL 11,X360,2010,Sports,84.0,5.7,E
Burnout 3: Takedown,PS2,2004,Racing,93.0,9.1,T
Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2010,Puzzle,79.0,7.7,E
Professor Layton and the Last Specter,DS,2009,Puzzle,83.0,8.7,E10+
Call Of Duty 2: Big Red One,PS2,2005,Shooter,77.0,8.2,T
Medal of Honor,PS,1998,Shooter,92.0,8.6,T
Fable,XB,2004,Role-Playing,85.0,8.5,M
Guitar Hero: World Tour,X360,2008,Misc,85.0,6.3,T
Tom Clancy's Splinter Cell,PS2,2003,Action,89.0,7.7,T
Need for Speed: Shift,PS3,2009,Racing,84.0,6.9,E
Medal of Honor Heroes,PSP,2006,Shooter,71.0,7.9,T
Midnight Club: Street Racing,PS2,2000,Racing,78.0,7.8,T
Skate 3,X360,2010,Sports,80.0,8,T
ESPN NFL 2K5,PS2,2004,Sports,90.0,8.2,E
Halo Wars,X360,2009,Strategy,82.0,7.2,T
FIFA Soccer 10,X360,2009,Sports,90.0,7.5,E
Medal of Honor,X360,2010,Shooter,74.0,6.7,M
Harry Potter and the Chamber of Secrets,PS2,2002,Action,71.0,7.6,E
God of War Collection,PS3,2009,Action,91.0,8.7,M
NBA Live 2005,PS2,2004,Sports,84.0,8.1,E
Mario Strikers Charged,Wii,2007,Sports,79.0,8,E10+
FIFA Soccer 09,PS3,2008,Sports,87.0,7.5,E
Style Savvy,DS,2008,Simulation,73.0,7.7,E
WWE SmackDown vs. RAW 2007,PS2,2006,Fighting,80.0,8.6,T
LEGO Star Wars: The Complete Saga,X360,2007,Action,80.0,7.4,E10+
Madden NFL 08,PS2,2007,Sports,78.0,7.8,E
Monster Hunter Freedom 2,PSP,2007,Role-Playing,72.0,8.7,T
Sonic Adventure 2 Battle,GC,2001,Platform,73.0,8.3,E
Dragon Age: Origins,X360,2009,Role-Playing,86.0,7.9,M
Pokémon Colosseum,GC,2003,Role-Playing,73.0,8,E
LittleBigPlanet,PSP,2009,Platform,87.0,7.8,E10+
Madden NFL 09,X360,2008,Sports,83.0,7,E
Crazy Taxi,PS2,2001,Racing,80.0,7.9,T
Art Academy,DS,2010,Misc,75.0,8,E
Deca Sports,Wii,2008,Sports,50.0,5.4,E
Marvel: Ultimate Alliance,X360,2006,Role-Playing,82.0,7.5,T
Mortal Kombat: Deadly Alliance,PS2,2002,Fighting,79.0,8.8,M
Game Party,Wii,2007,Misc,25.0,4.3,E
Mario Party 4,GC,2002,Misc,70.0,7.4,E
Pure,X360,2008,Racing,85.0,7.7,E
Resistance 2,PS3,2008,Shooter,87.0,6.1,M
Final Fantasy Tactics,PS,1997,Role-Playing,83.0,8.2,T
Midnight Club: Los Angeles,PS3,2008,Racing,82.0,8.2,T
The Sims: Bustin' Out,PS2,2003,Simulation,81.0,8.4,T
LEGO Harry Potter: Years 1-4,Wii,2010,Action,79.0,8,E10+
